,TF,target,importance
442,CHIT1,PTGS2,-0.05967387139449501
443,CEACAM6,PTGS2,-0.08281051533392234
444,PTGS2,PTGS2,1.0
445,PTGDR2,PTGS2,0.36217734919355743
446,IL3RA,PTGS2,0.8471806711469181
447,FLT3,PTGS2,-0.19998964945923972
448,CEACAM8,PTGS2,-0.13015809067847414
449,IDO1,PTGS2,-0.3565824633553292
450,FN1,PTGS2,-0.2789959430835922
451,FOS,PTGS2,0.8092629500824601
452,C3AR1,PTGS2,-0.4157944157205682
453,EGR2,PTGS2,0.5711272277272633
454,USP9Y,PTGS2,-0.11922891348663055
455,C1QB,PTGS2,-0.680846384318388
456,LCN2,PTGS2,0.032493318042309934
457,CXCL1,PTGS2,0.9857512640858144
458,CTSG,PTGS2,-0.054199668356676174
459,SPACA3,PTGS2,-0.1885215977790957
460,CD27,PTGS2,-0.6133918084928757
461,CAMP,PTGS2,-0.07740744586335338
462,LRRN3,PTGS2,-0.3623055342479589
463,IL1R1,PTGS2,0.17646644460608005
464,SLC11A1,PTGS2,0.3652378069448126
465,F2RL1,PTGS2,0.5700365314728357
466,SERPING1,PTGS2,-0.29802464888142804
467,TCF7,PTGS2,-0.6324415169938571
468,HLA-DRB4,PTGDR2,0.4465658159293042
469,HLA-DQA1,PTGDR2,0.08038105905397612
470,HLA-DQB1,PTGDR2,-0.14657751567365954
471,IL1R2,PTGDR2,-0.8719684738629994
472,IL32,PTGDR2,0.6216483760890326
473,FCER1A,PTGDR2,0.8875740028328555
474,IL8,PTGDR2,0.5807070098153373
475,LTF,PTGDR2,-0.7244051380731233
476,ARG1,PTGDR2,-0.8361307614217274
477,EGR1,PTGDR2,-0.459156912167419
478,CHIT1,PTGDR2,-0.6159068785065838
479,CEACAM6,PTGDR2,-0.6824053730868299
480,PTGS2,PTGDR2,0.36217734919355743
481,PTGDR2,PTGDR2,1.0
482,IL3RA,PTGDR2,0.6164280746875488
483,FLT3,PTGDR2,-0.7859799446575653
484,CEACAM8,PTGDR2,-0.689707260794901
485,IDO1,PTGDR2,0.6515500318992546
486,FN1,PTGDR2,-0.6070801390076171
487,FOS,PTGDR2,-0.20245398846293536
488,C3AR1,PTGDR2,-0.13992499250823767
489,EGR2,PTGDR2,0.57959982673187
490,USP9Y,PTGDR2,-0.5505021000702794
491,C1QB,PTGDR2,-0.3523249283677022
492,LCN2,PTGDR2,-0.6832025261795379
493,CXCL1,PTGDR2,0.22819313606304745
494,CTSG,PTGDR2,-0.7787083947640906
495,SPACA3,PTGDR2,-0.5662107358471935
496,CD27,PTGDR2,0.29304320623744595
497,CAMP,PTGDR2,-0.7474551105742205
498,LRRN3,PTGDR2,0.3231565223119636
499,IL1R1,PTGDR2,-0.6059877153576672
500,SLC11A1,PTGDR2,-0.4216987383370806
501,F2RL1,PTGDR2,-0.2936618052413586
502,SERPING1,PTGDR2,0.7368392485259629
503,TCF7,PTGDR2,0.17979543440338974
504,HLA-DRB4,IL3RA,0.971029111235334
505,HLA-DQA1,IL3RA,-0.5027607704517182
506,HLA-DQB1,IL3RA,-0.7838084300402685
507,IL1R2,IL3RA,-0.4884161865782197
508,IL32,IL3RA,0.398898536352842
509,FCER1A,IL3RA,0.6761626971319008
510,IL8,IL3RA,0.9675043773682186
511,LTF,IL3RA,-0.4814769193523065
512,ARG1,IL3RA,-0.5332895397054273
513,EGR1,IL3RA,-0.1798149325653783
514,CHIT1,IL3RA,-0.357545822822863
515,CEACAM6,IL3RA,-0.41445975448519534
516,PTGS2,IL3RA,0.8471806711469181
517,PTGDR2,IL3RA,0.6164280746875488
518,IL3RA,IL3RA,1.0
519,FLT3,IL3RA,-0.5726071884604425
520,CEACAM8,IL3RA,-0.4749190405754097
521,IDO1,IL3RA,0.147209965770358
522,FN1,IL3RA,-0.5131032625562972
523,FOS,IL3RA,0.5247093681785326
524,C3AR1,IL3RA,-0.5850499790310132
525,EGR2,IL3RA,0.3347954633410034
526,USP9Y,IL3RA,-0.3416077973057103
527,C1QB,IL3RA,-0.4717583889561748
528,LCN2,IL3RA,-0.3450572031869296
529,CXCL1,IL3RA,0.7716617445785671
530,CTSG,IL3RA,-0.4458427960298417
531,SPACA3,IL3RA,-0.3952057590049631
532,CD27,IL3RA,-0.1624730986092048
533,CAMP,IL3RA,-0.4264193394667961
534,LRRN3,IL3RA,0.03003001087936218
535,IL1R1,IL3RA,-0.16061986615622528
536,SLC11A1,IL3RA,-0.17241116603759135
537,F2RL1,IL3RA,0.06465164512818798
538,SERPING1,IL3RA,0.16472406037137724
539,TCF7,IL3RA,-0.1343355087952647
540,HLA-DRB4,FLT3,-0.4169567933307949
541,HLA-DQA1,FLT3,-0.2312300781104198
542,HLA-DQB1,FLT3,-0.0596250632100941
543,IL1R2,FLT3,0.882298707337884
544,IL32,FLT3,-0.5958309785708668
545,FCER1A,FLT3,-0.90340170192365
546,IL8,FLT3,-0.4794026762624435
547,LTF,FLT3,0.9900286548637828
548,ARG1,FLT3,0.9790716160016156
549,EGR1,FLT3,0.8761255550562008
550,CHIT1,FLT3,0.9452814629353504
551,CEACAM6,FLT3,0.9740009813047464
552,PTGS2,FLT3,-0.19998964945923972
553,PTGDR2,FLT3,-0.7859799446575653
554,IL3RA,FLT3,-0.5726071884604425
555,FLT3,FLT3,1.0
556,CEACAM8,FLT3,0.984621798511925
557,IDO1,FLT3,-0.7343731062179675
558,FN1,FLT3,0.1800685060914787
559,FOS,FLT3,0.3538135206330328
560,C3AR1,FLT3,-0.07124979740080863
561,EGR2,FLT3,-0.06354684141629552
562,USP9Y,FLT3,0.8970958536109671
563,C1QB,FLT3,0.4144802974577904
564,LCN2,FLT3,0.9662531650907248
565,CXCL1,FLT3,-0.033556077685415533
566,CTSG,FLT3,0.9870382270185174
567,SPACA3,FLT3,0.8989082068393675
568,CD27,FLT3,-0.6379670121219653
569,CAMP,FLT3,0.9832298409325714
570,LRRN3,FLT3,-0.7854313121511668
571,IL1R1,FLT3,0.8985423676759167
572,SLC11A1,FLT3,0.7307903750740339
573,F2RL1,FLT3,0.6175543237609677
574,SERPING1,FLT3,-0.7874213549319476
575,TCF7,FLT3,-0.5124366281754251
576,HLA-DRB4,CEACAM8,-0.3362940897313353
577,HLA-DQA1,CEACAM8,-0.2514421107913838
578,HLA-DQB1,CEACAM8,-0.16281292838132058
579,IL1R2,CEACAM8,0.8073840459630838
580,IL32,CEACAM8,-0.6195067046855556
581,FCER1A,CEACAM8,-0.8174019815308593
582,IL8,CEACAM8,-0.3942486949287288
583,LTF,CEACAM8,0.9986470955107364
584,ARG1,CEACAM8,0.9407561724138296
585,EGR1,CEACAM8,0.9228967200426464
586,CHIT1,CEACAM8,0.9864282373698168
587,CEACAM6,CEACAM8,0.9969024353932342
588,PTGS2,CEACAM8,-0.13015809067847414
589,PTGDR2,CEACAM8,-0.689707260794901
590,IL3RA,CEACAM8,-0.4749190405754097
591,FLT3,CEACAM8,0.984621798511925
592,CEACAM8,CEACAM8,1.0
593,IDO1,CEACAM8,-0.6868830833946125
594,FN1,CEACAM8,0.007277888017170496
595,FOS,CEACAM8,0.4051524973803405
596,C3AR1,CEACAM8,-0.2153930300720052
597,EGR2,CEACAM8,0.01653077602944597
598,USP9Y,CEACAM8,0.9556253403399559
599,C1QB,CEACAM8,0.457160338390909
600,LCN2,CEACAM8,0.9840743627150542
